,party,quote,said_by
0,D,"Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.",Barack Obama
1,D,"The best way to not feel hopeless is to get up and do something. Don’t wait for good things to happen to you. If you go out and make some good things happen, you will fill the world with hope, you will fill yourself with hope.",Barack Obama
2,D,A change is brought about because ordinary people do extraordinary things.,Barack Obama
3,D,Yes We Can!,Barack Obama
4,D,We are the change we have been waiting for.,Barack Obama
5,D,"In the unlikely story that is America, there has never been anything false about hope.",Barack Obama
6,D,"In the face of impossible odds, people who love this country can change it.",Barack Obama
7,D,"I'm inspired by the people I meet in my travels--hearing their stories, seeing the hardships they overcome, their fundamental optimism and decency. I'm inspired by the love people have for their children. And I'm inspired by my own children, how full they make my heart. They make me want to work to make the world a little bit better. And they make me want to be a better man.",Barack Obama
8,D,"If you're walking down the right path and you're willing to keep walking, eventually you'll make progress.",Barack Obama
9,D,"If there's a child on the south side of Chicago who can't read, that matters to me, even if it's not my child. If there's a senior citizen somewhere who can't pay for their prescription, who has to choose between medicine and the rent, that makes my life poorer - even if it's not my grandparent. If there's an Arab-American or Mexican-American family being rounded up by John Ashcroft without benefit of an attorney or due process, I know that that threatens my civil liberties. And I don't have to be a woman to be concerned that the Supreme Court is trying to take away a woman's right, because I know that my rights are next. It is that fundamental belief - I am my brother’s keeper, I am my sister’s keeper - that makes this country work.",Barack Obama
10,D,There's not a liberal America and a conservative America - there's the United States of America.,Barack Obama
11,D,"We don't ask you to believe in our ability to bring change, rather, we ask you to believe in yours.",Barack Obama
12,D,"One voice can change a room, and if one voice can change a room, then it can change a city, and if it can change a city, it can change a state, and if it change a state, it can change a nation, and if it can change a nation, it can change the world. Your voice can change the world",Barack Obama
13,D,"I believe in evolution, scientific inquiry, and global warming; I believe in free speech, whether politically correct or politically incorrect, and I am suspicious of using government to impose anybody's religious beliefs -including my own- on nonbelievers.",Barack Obama
14,D,Focusing your life solely on making a buck shows a poverty of ambition. It asks too little of yourself. And it will leave you unfulfilled.,Barack Obama
15,D,What I’ve realized is that life doesn’t count for much unless you’re willing to do your small part to leave our children — all of our children — a better world. Any fool can have a child. That doesn’t make you a father. It’s the courage to raise a child that makes you a father.”,Barack Obama
16,D,"No, you can't deny women their basic rights and pretend it's about your 'religious freedom'. If you don't like birth control, don't use it. Religious freedom doesn't mean you can force others to live by your own beliefs.",Barack Obama
17,D,Nothing can stand in the way of the power of millions of voices calling for change.,Barack Obama
18,D,"it’s important to make sure that we’re talking with each other in a way that heals, not in a way that wounds.",Barack Obama
19,D,"Making your mark on the world is hard. If it were easy, everybody would do it. But it's not. It takes patience, it takes commitment, and it comes with plenty of failure along the way. The real test is not whether you avoid this failure, because you won't. it's whether you let it harden or shame you into inaction, or whether you learn from it; whether you choose to persevere.",Barack Obama
20,D,Why can't I just eat my waffle?,Barack Obama
21,D,"Hope is not blind optimism. It's not ignoring the enormity of the task ahead or the roadblocks that stand in our path. It's not sitting on the sidelines or shirking from a fight. Hope is that thing inside us that insists, despite all evidence to the contrary, that something better awaits us if we have the courage to reach for it, and to work for it, and to fight for it. Hope is the belief that destiny will not be written for us, but by us, by the men and women who are not content to settle for the world as it is, who have the courage to remake the world as it should be.",Barack Obama
22,D,"I have always believed that hope is that stubborn thing inside us that insists, despite all the evidence to the contrary, that something better awaits us so long as we have the courage to keep reaching, to keep working, to keep fighting.”",Barack Obama
23,D,"Our stories may be singular, but our destination is shared.",Barack Obama
24,D,The worst thing that colonialism did was to cloud our view of our past.,Barack Obama
25,D,You can put lipstick on a pig. It's still a pig.,Barack Obama
